crdc_mscl_r1_2,emb_fibr_r1_4,emb_fibr_r2_4,emb_fibr_r3_4,heart_r1_1,emb_fibr_r4_4,crdc_fibr_r1_3
Tbx5(T-box),Mef2b(MADS),Fos(bZIP),GATA3(Zf),Mef2c(MADS),TRPS1(Zf),Tbx5(T-box)
Tbx6(T-box),TRPS1(Zf),Fra1(bZIP),TRPS1(Zf),Mef2b(MADS),GATA3(Zf),Tbx6(T-box)
Tbet(T-box),GATA3(Zf),Fra2(bZIP),Fos(bZIP),Mef2d(MADS),Gata4(Zf),Tbet(T-box)
Eomes(T-box),Mef2c(MADS),Atf3(bZIP),Fra2(bZIP),CTCF(Zf),JunB(bZIP),Tbx21(T-box)
Tbx21(T-box),Gata4(Zf),JunB(bZIP),Fra1(bZIP),Mef2a(MADS),Fos(bZIP),Eomes(T-box)
Tbr1(T-box),Gata6(Zf),BATF(bZIP),JunB(bZIP),NF1(CTF),Atf3(bZIP),Tbr1(T-box)
Tgif2(Homeobox),CTCF(Zf),TRPS1(Zf),BATF(bZIP),BORIS(Zf),Fra1(bZIP),Meis1(Homeobox)
Meis1(Homeobox),Tbx5(T-box),Fosl2(bZIP),Atf3(bZIP),Tbx20(T-box),BATF(bZIP),Tgif2(Homeobox)
Tgif1(Homeobox),Mef2a(MADS),GATA3(Zf),Fosl2(bZIP),Tgif2(Homeobox),Fra2(bZIP),TRPS1(Zf)
HIC1(Zf),Gata2(Zf),AP-1(bZIP),AP-1(bZIP),Tgif1(Homeobox),Gata6(Zf),GATA3(Zf)
NF1-halfsite(CTF),Mef2d(MADS),Jun-AP1(bZIP),Gata4(Zf),Tbx5(T-box),AP-1(bZIP),Gata4(Zf)
Ptf1a(bHLH),Gata1(Zf),Gata4(Zf),Gata6(Zf),NF1-halfsite(CTF),Fosl2(bZIP),Gata6(Zf)
E2A(bHLH),Fos(bZIP),Mef2b(MADS),Mef2b(MADS),Gata4(Zf),Jun-AP1(bZIP),Tgif1(Homeobox)
Fos(bZIP),Fra1(bZIP),Gata6(Zf),Jun-AP1(bZIP),Meis1(Homeobox),Gata2(Zf),Gata2(Zf)
Ascl2(bHLH),Fra2(bZIP),Mef2c(MADS),Mef2c(MADS),GATA3(Zf),Gata1(Zf),Gata1(Zf)
HEB(bHLH),Atf3(bZIP),Tbx5(T-box),Tbx5(T-box),Gata6(Zf),TEAD3(TEA),Fos(bZIP)
Fra1(bZIP),BORIS(Zf),CTCF(Zf),Gata2(Zf),TRPS1(Zf),TEAD1(TEAD),JunB(bZIP)
Atf3(bZIP),Tbx6(T-box),Gata2(Zf),Gata1(Zf),Tlx,TEAD(TEA),BATF(bZIP)
Fra2(bZIP),JunB(bZIP),Mef2a(MADS),Mef2d(MADS),TEAD3(TEA),TEAD4(TEA),Fra1(bZIP)
Fosl2(bZIP),BATF(bZIP),TEAD3(TEA),Mef2a(MADS),TEAD1(TEAD),TEAD2(TEA),Fra2(bZIP)
JunB(bZIP),Fosl2(bZIP),Gata1(Zf),Tbx6(T-box),Gata2(Zf),Bach2(bZIP),AP-1(bZIP)
Ascl1(bHLH),Jun-AP1(bZIP),TEAD1(TEAD),TEAD3(TEA),Gata1(Zf),CRX(Homeobox),Atf3(bZIP)
E2A(bHLH),AP-1(bZIP),Mef2d(MADS),TEAD1(TEAD),TEAD4(TEA),GSC(Homeobox),Fosl2(bZIP)
Jun-AP1(bZIP),Tbet(T-box),TEAD4(TEA),CTCF(Zf),TEAD(TEA),RUNX(Runt),Mef2b(MADS)
AP-1(bZIP),Eomes(T-box),Tbx6(T-box),Tbet(T-box),Tbx6(T-box),RUNX1(Runt),Mef2c(MADS)
NF1(CTF),Tbx21(T-box),TEAD(TEA),TEAD4(TEA),TEAD2(TEA),RUNX2(Runt),Jun-AP1(bZIP)
Gata6(Zf),TEAD3(TEA),Tbet(T-box),Eomes(T-box),HIC1(Zf),RUNX-AML(Runt),Mef2a(MADS)
BATF(bZIP),TEAD1(TEAD),BORIS(Zf),TEAD(TEA),Tbet(T-box),NF-E2(bZIP),Mef2d(MADS)
Gata1(Zf),TEAD4(TEA),TEAD2(TEA),Tbx21(T-box),Eomes(T-box),NFE2L2(bZIP),KLF5(Zf)
Gata4(Zf),Tgif2(Homeobox),Eomes(T-box),Tbr1(T-box),Tbx21(T-box),Bach1(bZIP),KLF1(Zf)
Gata2(Zf),Tbr1(T-box),Tbx21(T-box),TEAD2(TEA),Bapx1(Homeobox),GATA,KLF14(Zf)
